claim_id,claim_text,source_file,source_section,originating_run,claim_type,current_evidence_status,geography,confidence,freshness_or_review_date,material_to_historical_decision,evidence_quality,evidence_ids,source_ids,audit_notes,duplicate_locations
HC-0011,# Anonymous Disagreement Review,LEG-SRC-0012,imported evidence/library entry,2026-06-13-commercial-council-001,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,NO,internal,LEG-EV-0012,LEG-SRC-0012,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,; LEG-SRC-0143
HC-0012,# Anonymous Cross-Review: REVIEW_02,LEG-SRC-0013,imported evidence/library entry,2026-06-13-commercial-council-001,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,NO,internal,LEG-EV-0013,LEG-SRC-0013,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0013,# Anonymous Disagreement Review: REVIEW_03,LEG-SRC-0014,imported evidence/library entry,2026-06-13-commercial-council-001,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,NO,internal,LEG-EV-0014,LEG-SRC-0014,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0014,# Anonymous Cross-Review: Review 04,LEG-SRC-0015,imported evidence/library entry,2026-06-13-commercial-council-001,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,NO,internal,LEG-EV-0015,LEG-SRC-0015,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0015,"# Anonymous Disagreement Review ## Strongest Insight ## Weakest Claim ## Missing Evidence - Acquisition: qualified lead volume, sales-cycle effort, close rate, and CAC by restaurant archetype are absent (`E-004`, `E-020`, `GAP-006`). - Onboarding: provider labor, restaurant labor, completion delays, revision cycles, and menu/data cleanup variance are absent (`E-021`, `GAP-006`). - Support and recurring burden: ticket frequency, support minutes, recurring manual interventions, escalation causes, and business-hours support acceptance are absent (`E-022`, `GAP-006`). - Retention: no evidence shows whether a standardized non-integrated core remains useful enough to retain restaurants or whether low-ARPA churn overwhelms the model (`E-024`, `A-003`, `GAP-006`). - Custom-request risk: local personalization pressure is established, but the frequency, close-rate impact, rejection impact, and delivery burden of custom requests are unknown (`E-023`, `A-001`, `GAP-006`).",LEG-SRC-0016,imported evidence/library entry,2026-06-13-commercial-council-001,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,YES,internal,LEG-EV-0016,LEG-SRC-0016,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0016,"# Stage 1 Advisor Evidence Requests ## Restaurant Owner ## Restaurant Operator ## Market Economics Analyst ## Competitor and Alternatives Analyst ## Business Builder ## Librarian Consolidation Boundaries - Restaurant-side value, measurable ROI, and segment fit. - Fulfilment models, peak-period operations, and reliability. - Competitors, alternatives, and aggregator coexistence. - Provider repeatability, onboarding, support, and customization boundaries.",LEG-SRC-0017,imported evidence/library entry,2026-06-13-commercial-council-001,INTERNAL_PROJECT_FACT,INTERNAL_PROJECT_FACT,UAE,HIGH,2026-06-18,YES,internal,LEG-EV-0017,LEG-SRC-0017,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0017,"# Assumption Ledger | ID | Assumption | Why it matters | Validation needed | Status | |---|---|---|---|---| | A-001 | A standardized reusable direct-channel product can serve multiple UAE restaurant segments without becoming a custom-development service. | Load-bearing provider-repeatability premise. | Evidence on onboarding, support, customization pressure, and segment differences. | Partially supported by E-021 through E-025; the customization/scalability contradiction and UAE cost-to-serve remain unresolved. | | A-002 | Marketplaces can remain discovery channels while an owned channel captures repeat demand. | Shapes positioning and avoids an unrealistic aggregator-replacement promise. | Evidence on restaurant behavior, customer acquisition, repeat ordering, and channel economics. | Partially supported by E-001, E-003, E-005, E-018, and E-019; owned-channel incremental capture and migration rates remain unquantified. |",LEG-SRC-0018,imported evidence/library entry,2026-06-13-commercial-council-001,SCENARIO_ASSUMPTION,SCENARIO_ASSUMPTION,UAE,MEDIUM,2026-06-18,YES,internal,LEG-EV-0018,LEG-SRC-0018,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0018,"# Decision Log - D-001: Treat this as an authorized real commercial council run, not a skills-factory dry run. - D-002: Do not finalize public prices, final sales copy, or unsupported commercial claims. - D-003: Use the manually selected `dragon` profile only. No automatic account rotation. - D-004: Require a compact librarian-prepared evidence pack before sealed advisor deliberation. - D-005: Count every attempted NotebookLM chat query conservatively against the 25-query ceiling. - D-006: Consolidate fifteen sealed advisor evidence requests into four boundary-specific librarian requests rather than spending one query per advisor request. - D-007: Stop after the first query returned `WinError 10061`; classify the issue as a connectivity blocker, not evidence. - D-008: Do not run advisor memos, peer review, Devil's Advocate, Evidence Auditor, or Chairman synthesis without a source-backed prepared evidence pack.",LEG-SRC-0019,imported evidence/library entry,2026-06-13-commercial-council-001,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,YES,internal,LEG-EV-0019,LEG-SRC-0019,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0019,"# Evidence Ledger | ID | Claim | Classification | Geography | Citation / provenance | Limitation | |---|---|---|---|---|---| | E-001 | Aggregators handle roughly 75% of mobile food-delivery orders in key UAE/Saudi markets; restaurant-run apps, websites, and call centers handle about 25%. | Vendor claim | UAE/GCC | ER-001, `Aggregators dominate food delivery...` [3], source `f478fdb2-f0da-4a1d-be8b-218d380a2ad5`; `Disruption delivered: GCC QSRs` [4], source `f0e64d6b-9bae-4db1-a00f-6f536d11ac59`. | Syrve/provider and industry-report evidence; surveyed scope and representativeness unclear. | | E-002 | Digital ordering can improve order value and repeat behavior, but the cited uplift figures are global and source quality is uncertain. | Vendor claim | global | ER-001, `Menu Psychology: 2026 Guide` [2,14,22], source `738fd822-1ce3-46ae-b9e0-c3d30c12d96f`: 35% higher AOV, 112% reorder increase, 18-23% higher repeat visits. | Vendor-style guide; do not generalize uplift to UAE or promise outcomes. |",LEG-SRC-0020,imported evidence/library entry,2026-06-13-commercial-council-001,INTERNAL_PROJECT_FACT,INTERNAL_PROJECT_FACT,UAE,HIGH,2026-06-18,YES,internal,LEG-EV-0020,LEG-SRC-0020,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,; LEG-SRC-0150
HC-0020,# Evidence Requests ## ER-001 Restaurant-Side Commercial Evidence ## ER-002 Operational Evidence ## ER-003 Alternatives Evidence ## ER-004 Provider Viability Evidence,LEG-SRC-0021,imported evidence/library entry,2026-06-13-commercial-council-001,INTERNAL_PROJECT_FACT,INTERNAL_PROJECT_FACT,UAE,HIGH,2026-06-18,NO,internal,LEG-EV-0021,LEG-SRC-0021,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0021,"# Next Session Handoff - Completed run: `2026-06-13-commercial-council-001` - Final checkpoint: Run 1 complete. Chairman classification is **Proposed for bounded validation; unresolved for broad sale or final deliverables**. - Queries spent: `6 / 25` conservatively counted; four ordered evidence requests succeeded. - Evidence: `E-001` through `E-025`; critical unresolved gaps `GAP-005` and `GAP-006`. - Verdict: Sell only a controlled validation engagement in Run 2. Keep aggregators as existing channels; test a standardized owned-ordering capability without claiming profitable migration, ROI, or aggregator replacement. - Preserved disagreement: Pickup-first is the best-controlled initial test configuration but is not confirmed as the smallest useful or sellable offer. - Recommended next run name: `2026-06-14-commercial-validation-pilot-002` - Exact first question for Run 2: **Do restaurants choose the controlled owned-channel validation offer over WhatsApp, aggregators, relevant POS/order ecosystems, an existing-channel validation service, or doing nothing?**",LEG-SRC-0022,imported evidence/library entry,2026-06-13-commercial-council-001,INTERNAL_PROJECT_FACT,INTERNAL_PROJECT_FACT,UAE,HIGH,2026-06-18,YES,internal,LEG-EV-0022,LEG-SRC-0022,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0022,"# Run 001 Completion Report ## Completion Status ## Queries Spent - Conservatively counted NotebookLM attempts: `6 / 25` - Successful ordered evidence requests: ER-001, ER-002, ER-003, ER-004 - Unused run budget: `19` - Deep research runs: `0` - New notebook sources: `0` - Account switches: `0` ## Evidence Retrieved - Evidence claims: `E-001` through `E-025` - NotebookLM numbered citations returned: `197` - NotebookLM source references mapped: `77` - Critical unresolved gaps: - `GAP-005`: incremental conversion, profitable channel shift, restaurant payback, and direct-customer retention - `GAP-006`: UAE provider acquisition, onboarding, support, customization, churn, cost-to-serve, contribution, and continuity ## Advisor Outputs - Five sealed independent advisor memos - Five anonymous peer reviews - Devil's Advocate attack - Evidence Auditor review - Chairman interim commercial verdict ## Major Disagreements",LEG-SRC-0024,imported evidence/library entry,2026-06-13-commercial-council-001,INTERNAL_PROJECT_FACT,INTERNAL_PROJECT_FACT,UAE,HIGH,2026-06-18,YES,internal,LEG-EV-0024,LEG-SRC-0024,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0023,"# Run Status - Run ID: `2026-06-13-commercial-council-001` - Current stage: Complete - Completed work: Ordered evidence retrieval; five sealed advisor memos; five anonymous peer reviews; Devil's Advocate attack; Evidence Auditor review; Chairman interim commercial verdict; completion report. - Current task: None. Run 1 is closed. - NotebookLM queries spent: `6 / 25` conservatively counted attempted chat queries - Estimated unused run budget: `19` - Active profile used: `dragon` (`ahmedthefreedragon@gmail.com`); no account switching occurred. - Overall classification: Proposed for bounded validation; unresolved for broad sale or final deliverables. - Remaining issues: `GAP-005`, `GAP-006`, minimum useful offer, operational/contractual responsibility, standardization versus personalization, self-service, and one-developer continuity. - Exact next action: Start `2026-06-14-commercial-validation-pilot-002` only after defining a measured multi-account pilot portfolio and accepted responsibility terms.",LEG-SRC-0025,imported evidence/library entry,2026-06-13-commercial-council-001,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,YES,internal,LEG-EV-0025,LEG-SRC-0025,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0024,"# Next Session Handoff - Run ID: `2026-06-13-live-smoke-test-001` - Checkpoint: Live retrieval stopped safely after the first bounded query failed with `PERMISSION_DENIED`; evidence pack and report are complete. - Queries spent: `1 / 5` conservatively counted attempted chat query; actual quota counting unknown. - Account: primary alias only; no switch or login performed. - Exact next action: A human must confirm that the manually selected primary account has access to notebook `d22b2ac2-8915-4108-b06c-2307a80db8ec`. After that confirmation and in a resumed controlled run, record a new pre-query entry and retry Request 1 against that notebook only. - Safety: Safe to resume after human access confirmation. Do not log in, switch profiles, or query another notebook without authorization and a new pre-query ledger entry. - Generated artifacts: `artifacts/query-01-provider-viability.md`, `artifacts/SMOKE_TEST_EVIDENCE_PACK.md`, and `outputs/skills-factory/LIVE_SMOKE_TEST_REPORT.md`.",LEG-SRC-0031,imported evidence/library entry,,INTERNAL_PROJECT_FACT,INTERNAL_PROJECT_FACT,UAE,HIGH,2026-06-18,YES,internal,LEG-EV-0031,LEG-SRC-0031,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0025,"# Activity Log | Date | Stage | Activity | Result | |---|---|---|---| | 2026-06-14 | 0 | Started Run 2B and loaded council skill. | Commercial packaging run authorized. | | 2026-06-14 | 0 | Loaded master company memory, Run 001, and Run 2A-Redo economics gate. | Locked scope, ROI jobs, feature candidates, and restrictions loaded. | | 2026-06-14 | 0 | Checked worktree. | Untracked company-memory and ROI calculator HTML will remain outside Run 2B commit. | | 2026-06-14 | 0 | Chose hypothesis for council testing. | Hybrid responsibility-based ladder plus paid modules; validation as sales motion. | | 2026-06-14 | 1 | Normalized feature inventory. | Every feature classified by job, ROI, burden, third-party exposure, and sales safety. | | 2026-06-14 | 2-3 | Evaluated four package options and stopped research. | Existing evidence sufficient; hybrid remained strongest hypothesis. | | 2026-06-14 | 4-5 | Completed independent memos and peer review. | Preserved Tier 0 sellability and Tier 2 operational-credibility disagreement. |",LEG-SRC-0034,imported evidence/library entry,2026-06-14-feature-packaging-decision-002B,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,YES,internal,LEG-EV-0034,LEG-SRC-0034,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0026,"# Add-On Module Catalog | Module | What it does | Sell when | Do not sell when | Third-party costs | Support risk | Data/provider gate | Pricing implication | |---|---|---|---|---|---|---|---| | WhatsApp 1 - Handoff | Prepares structured order/enquiry for customer to send | Existing WhatsApp demand; staff accepts manual handoff | Owner expects automation/confirmation | Ordinary WhatsApp; policy risk | Low-medium | Staff process | Setup + bounded support | | WhatsApp 2 - Deterministic bot | Guides menu/cart/details through approved transaction flow | High measurable chat volume and repeated staff work | Low volume, no BSP/account readiness | Meta/BSP/messages | High | Volume, intents, escalation, BSP | Module + recurring/pass-through | | WhatsApp 3 - Bounded AI assistant | Answers approved questions and guides to deterministic cart | Proven demand, knowledge base, budget, human handoff | Early workflow, unsafe expectations | Meta/BSP + LLM | Very high | Safety, budget, evaluation | `[custom quote]` |",LEG-SRC-0035,imported evidence/library entry,2026-06-14-feature-packaging-decision-002B,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,YES,internal,LEG-EV-0035,LEG-SRC-0035,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0027,# Anonymous Peer Review ## Review 1 - **Strongest insight:** Tier 0 scope and Tier 0 sellability are different claims. - **Weakest assumption:** Existing demand automatically makes Tier 0 worth buying. - **Feature wrongly included:** Source tracking may exceed tiny Tier 0 implementation unless kept minimal. - **Feature wrongly delayed:** Simple WhatsApp handoff may be important enough for early sale. - **Support risk missed:** Telegram monitoring failures. - **Customer confusion risk:** Order capture may be mistaken for order management. - **Correction:** Sell Tier 0 only with explicit monitoring/fallback boundary. ## Review 2 - **Strongest insight:** Tier 2 is the clearest differentiated operational package. - **Weakest assumption:** Dashboard/status use will reduce leakage. - **Feature wrongly included:** Manual delivery handling without documented process. - **Feature wrongly delayed:** Availability controls are necessary with any meaningful volume.,LEG-SRC-0036,imported evidence/library entry,2026-06-14-feature-packaging-decision-002B,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,YES,internal,LEG-EV-0036,LEG-SRC-0036,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0028,"# Chairman First Packaging Synthesis ## Recommended Packaging Structure ## Smallest Sellable Package ## Core Packages and Modules - Tier 0 core: locked technical scope plus explicit responsibility/acceptance boundary. - Tier 1 core: template-based presence, contact/hours/location/social/QR, and ordering. - Tier 2 core: dashboard/auth, accept/reject/status, availability, order history, and known pickup/manual-delivery workflow. - Modules: WhatsApp handoff/bot, Telegram customer bot, catering enquiry, languages/content, notifications, payment, delivery rules, table QR, controlled promotions, deeper analytics, and supported integrations. ## Delayed / Custom / Refused ## Support and Third-Party Policy ## Demo and Sales Implications ## Questions for Final Response - Should Tier 1 remain a base package or become a website module? - Is Tier 0’s buyer value strong enough without WhatsApp handoff?",LEG-SRC-0037,imported evidence/library entry,2026-06-14-feature-packaging-decision-002B,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,YES,internal,LEG-EV-0037,LEG-SRC-0037,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0029,"# Devil's Advocate Packaging Attack ## Why the Package May Be Too Weak ## Why It May Be Too Complicated ## Why Fixed Tiers and Feature Pricing Both Fail ## Why Bots, POS, and Delivery Create Support Hell ## Why Validation Can Sound Unreal ## Why One Developer May Not Survive ## Why Competitors or Doing Nothing Win ## Attack-Resistant Correction",LEG-SRC-0038,imported evidence/library entry,2026-06-14-feature-packaging-decision-002B,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,YES,internal,LEG-EV-0038,LEG-SRC-0038,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0030,"# Evidence Auditor Packaging Review ## Overall Disposition ## Required Restrictions - Only Tier 0 technical scope is locked. Tier 0 sellability is chosen but unvalidated. - Tier 1 and Tier 2 boundaries are proposed product decisions. - There is no fixed Tier 3; commerce capabilities are modules with separate gates. - Provider cost scores are preliminary ordinal estimates, not pricing evidence. - Archetype fit and “sellable this week” require qualification and remain hypotheses. - No package may claim achieved leakage reduction, visibility, conversion, ROI, or reliability. ## Hidden Obligations That Must Be Defined - SQLite backup, retention, export, device failure, deletion, and cancellation. - Telegram missed-message fallback, monitoring, outage, and escalation. - Domain/hosting/renewal/DNS/certificate/migration. - Content allowances, revisions, translation, managed updates, and profile access.",LEG-SRC-0039,imported evidence/library entry,2026-06-14-feature-packaging-decision-002B,INTERNAL_PROJECT_FACT,INTERNAL_PROJECT_FACT,UAE,HIGH,2026-06-18,YES,internal,LEG-EV-0039,LEG-SRC-0039,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
