claim_id,claim_text,source_file,source_section,originating_run,original_locations,current_evidence_status,geography,confidence,freshness_or_review_date,material_to_historical_decision,evidence_type,supporting_source_ids,supporting_urls,audit_notes,unresolved_gap_id
HCR-0001,A prior evidence pack represented aggregators as roughly 75% of mobile orders in key UAE/Saudi ordering contexts and owned channels/call centers as roughly 25%.,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,Evidence pack and gap register,2026-06-13-commercial-council-001,2026-06-13-commercial-council-001 | working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md | Evidence pack and gap register,STALE_OR_DATE_SENSITIVE,UAE/GCC,low,2026-06-19,yes,legacy vendor/secondary claim,,,The exact public source was not re-opened in this revision; do not reuse as a verified current market share.,GAP-AUD-001
HCR-0012,Low-ARPA SaaS businesses generally show weaker net revenue retention than higher-ARPA SaaS businesses in ChartMogul's benchmark sample.,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,Evidence pack and gap register,2026-06-13-commercial-council-001,2026-06-13-commercial-council-001 | working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md | Evidence pack and gap register,VERIFIED_FACT,Global SaaS,high,2026-06-19,yes,industry benchmark,REV-WEB-011,https://chartmogul.com/reports/saas-retention-report/,Relevant as a support-load/churn caution only; not restaurant-specific.,
HCR-0013,"ChartMogul reports that only 2.7% of SaaS businesses with ARPA below $10/month had net revenue retention above 100%, versus 41.1% for ARPA above $500/month.",working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,Evidence pack and gap register,2026-06-13-commercial-council-001,2026-06-13-commercial-council-001 | working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md | Evidence pack and gap register,VERIFIED_FACT,Global SaaS,high,2026-06-19,yes,industry benchmark,REV-WEB-011,https://chartmogul.com/reports/saas-retention-report/,Use as exact benchmark with report limitations.,
HCR-0014,Guaranteed ROI claims were prohibited in the historical commercial council artifacts.,working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md,Number ledger,2026-06-14-full-restaurant-roi-research-calculator-002A-redo,2026-06-14-full-restaurant-roi-research-calculator-002A-redo | working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md | Number ledger,INTERNAL_PROJECT_FACT,Project,high,2026-06-19,yes,internal decision,,,Decision preserved; audit only checks evidence condition.,
HCR-0015,"Marketplace commission scenarios of 15%, 25%, and 35% were used as scenario inputs, not verified UAE restaurant contract rates.",working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md,Number ledger,2026-06-14-full-restaurant-roi-research-calculator-002A-redo,2026-06-14-full-restaurant-roi-research-calculator-002A-redo | working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md | Number ledger,SCENARIO_ASSUMPTION,UAE/GCC,high,2026-06-19,yes,scenario model input,,,Keep out of verified-fact language.,GAP-AUD-004
HCR-0016,"Shifted-order scenarios of 2%, 7%, and 15% were used as assumptions requiring validation.",working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md,Number ledger,2026-06-14-full-restaurant-roi-research-calculator-002A-redo,2026-06-14-full-restaurant-roi-research-calculator-002A-redo | working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md | Number ledger,SCENARIO_ASSUMPTION,UAE/GCC,high,2026-06-19,yes,scenario model input,,,No inspected public UAE source supported these exact rates.,GAP-AUD-001
HCR-0017,"Incremental-order scenarios of 0%, 2%, and 5% were used as assumptions requiring validation.",working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md,Number ledger,2026-06-14-full-restaurant-roi-research-calculator-002A-redo,2026-06-14-full-restaurant-roi-research-calculator-002A-redo | working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md | Number ledger,SCENARIO_ASSUMPTION,UAE/GCC,high,2026-06-19,yes,scenario model input,,,Do not state as expected uplift.,GAP-AUD-002
HCR-0018,"Minutes-saved scenarios of 3, 5, and 8 minutes per order were model assumptions requiring validation.",working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md,Number ledger,2026-06-14-full-restaurant-roi-research-calculator-002A-redo,2026-06-14-full-restaurant-roi-research-calculator-002A-redo | working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md | Number ledger,SCENARIO_ASSUMPTION,UAE/GCC,high,2026-06-19,yes,scenario model input,,,Requires live pilot timing evidence.,GAP-AUD-002
HCR-0019,"Mistake-reduction scenarios of 1%, 3%, and 5% were model assumptions requiring validation.",working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md,Number ledger,2026-06-14-full-restaurant-roi-research-calculator-002A-redo,2026-06-14-full-restaurant-roi-research-calculator-002A-redo | working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md | Number ledger,SCENARIO_ASSUMPTION,UAE/GCC,high,2026-06-19,yes,scenario model input,,,Requires live pilot defect-rate evidence.,GAP-AUD-002
HCR-0020,Stripe UAE lists domestic card pricing at 2.9% plus AED 1.00 per successful transaction.,working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md,Number ledger,2026-06-14-full-restaurant-roi-research-calculator-002A-redo,2026-06-14-full-restaurant-roi-research-calculator-002A-redo | working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md | Number ledger,VERIFIED_FACT,UAE,high,2026-06-19,yes,official pricing page,REV-WEB-001,https://stripe.com/ae/pricing,Date-sensitive payment cost.,
HCR-0021,Stripe UAE lists an additional 1% fee for international cards.,working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md,Number ledger,2026-06-14-full-restaurant-roi-research-calculator-002A-redo,2026-06-14-full-restaurant-roi-research-calculator-002A-redo | working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md | Number ledger,VERIFIED_FACT,UAE,high,2026-06-19,yes,official pricing page,REV-WEB-001,https://stripe.com/ae/pricing,Date-sensitive payment cost.,
HCR-0022,Stripe UAE lists an additional 1% fee if currency conversion is required.,working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md,Number ledger,2026-06-14-full-restaurant-roi-research-calculator-002A-redo,2026-06-14-full-restaurant-roi-research-calculator-002A-redo | working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md | Number ledger,VERIFIED_FACT,UAE,high,2026-06-19,yes,official pricing page,REV-WEB-001,https://stripe.com/ae/pricing,Date-sensitive payment cost.,
HCR-0023,"Stripe UAE lists AED 60 per dispute received and AED 60 for manual evidence submission, returned if the dispute is won.",working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md,Number ledger,2026-06-14-full-restaurant-roi-research-calculator-002A-redo,2026-06-14-full-restaurant-roi-research-calculator-002A-redo | working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md | Number ledger,VERIFIED_FACT,UAE,high,2026-06-19,yes,official pricing page,REV-WEB-001,https://stripe.com/ae/pricing,Date-sensitive payment cost.,
HCR-0024,Stripe Checkout or Payment Links custom domains are listed at $10 per month.,working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md,Number ledger,2026-06-14-full-restaurant-roi-research-calculator-002A-redo,2026-06-14-full-restaurant-roi-research-calculator-002A-redo | working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md | Number ledger,VERIFIED_FACT,Global/UAE,high,2026-06-19,yes,official pricing page,REV-WEB-001,https://stripe.com/ae/pricing,Date-sensitive optional cost.,
HCR-0025,Telegram Bot API cost was treated as zero for normal Bot API use in a prior ledger.,working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md,Number ledger,2026-06-14-full-restaurant-roi-research-calculator-002A-redo,2026-06-14-full-restaurant-roi-research-calculator-002A-redo | working/council-runs/2026-06-14-full-restaurant-roi-research-calculator-002A-redo/NUMBER_LEDGER.md | Number ledger,STALE_OR_DATE_SENSITIVE,Global,low,2026-06-19,yes,prior ledger item,,,Not re-verified in this revision; keep out of current cost claims until re-opened.,GAP-AUD-007
HCR-0026,"Tier 0 launch setup price was set internally at AED 2,900 and standard setup at AED 3,600.",working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/PRICING_LEDGER.md,Pricing ledger,2026-06-14-pricing-and-commercial-justification-002C,2026-06-14-pricing-and-commercial-justification-002C | working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/PRICING_LEDGER.md | Pricing ledger,INTERNAL_PROJECT_FACT,UAE,high,2026-06-19,yes,internal pricing verdict,,,Historical decision preserved; not a market price.,
HCR-0027,"Tier 0 managed monthly fee was set internally at AED 350, with optional client-owned support at AED 250.",working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/PRICING_LEDGER.md,Pricing ledger,2026-06-14-pricing-and-commercial-justification-002C,2026-06-14-pricing-and-commercial-justification-002C | working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/PRICING_LEDGER.md | Pricing ledger,INTERNAL_PROJECT_FACT,UAE,high,2026-06-19,yes,internal pricing verdict,,,Historical decision preserved; not externally verified.,
HCR-0028,"Tier 1 launch setup price was set internally at AED 5,900 and standard setup at AED 7,500.",working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/PRICING_LEDGER.md,Pricing ledger,2026-06-14-pricing-and-commercial-justification-002C,2026-06-14-pricing-and-commercial-justification-002C | working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/PRICING_LEDGER.md | Pricing ledger,INTERNAL_PROJECT_FACT,UAE,high,2026-06-19,yes,internal pricing verdict,,,Historical decision preserved; not externally verified.,
HCR-0029,"Tier 1 managed monthly fee was set internally at AED 650, with optional client-owned support at AED 450.",working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/PRICING_LEDGER.md,Pricing ledger,2026-06-14-pricing-and-commercial-justification-002C,2026-06-14-pricing-and-commercial-justification-002C | working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/PRICING_LEDGER.md | Pricing ledger,INTERNAL_PROJECT_FACT,UAE,high,2026-06-19,yes,internal pricing verdict,,,Historical decision preserved; not externally verified.,
HCR-0030,"Tier 2 launch setup price was set internally at AED 12,000 after AED 2,500 discovery, with standard setup at AED 15,000 after discovery.",working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/PRICING_LEDGER.md,Pricing ledger,2026-06-14-pricing-and-commercial-justification-002C,2026-06-14-pricing-and-commercial-justification-002C | working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/PRICING_LEDGER.md | Pricing ledger,INTERNAL_PROJECT_FACT,UAE,high,2026-06-19,yes,internal pricing verdict,,,Historical decision preserved; not externally verified.,
HCR-0031,"Tier 2 managed monthly fee was set internally at AED 1,100 and client-owned support was unavailable for the initial cohort.",working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/PRICING_LEDGER.md,Pricing ledger,2026-06-14-pricing-and-commercial-justification-002C,2026-06-14-pricing-and-commercial-justification-002C | working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/PRICING_LEDGER.md | Pricing ledger,INTERNAL_PROJECT_FACT,UAE,high,2026-06-19,yes,internal pricing verdict,,,Historical decision preserved; not externally verified.,
HCR-0032,A cheap AED 300 WordPress/freelancer alternative was logged as an owner-objection hypothesis rather than a sourced market benchmark.,working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/COMPETITOR_LEDGER.md,Competitor ledger,2026-06-14-pricing-and-commercial-justification-002C,2026-06-14-pricing-and-commercial-justification-002C | working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/COMPETITOR_LEDGER.md | Competitor ledger,INTERNAL_PROJECT_FACT,UAE,high,2026-06-19,yes,internal competitor framing,,,Do not cite AED 300 as verified competitor pricing.,GAP-AUD-004
HCR-0033,Manual WhatsApp and phone ordering remained a strong real alternative in the historical competitor ledger.,working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/COMPETITOR_LEDGER.md,Competitor ledger,2026-06-14-pricing-and-commercial-justification-002C,2026-06-14-pricing-and-commercial-justification-002C | working/council-runs/2026-06-14-pricing-and-commercial-justification-002C/COMPETITOR_LEDGER.md | Competitor ledger,COUNCIL_INFERENCE,UAE/GCC,medium,2026-06-19,yes,internal competitive analysis,,,Needs current WhatsApp/payments/support cost verification for pricing claims.,GAP-AUD-007
HCR-0034,Delivery API and courier integrations were excluded from early core dependency and treated as integration-gated scope.,working/council-runs/2026-06-14-feature-packaging-decision-002B/PROVIDER_COST_LEDGER.md,Provider cost ledger,2026-06-14-feature-packaging-decision-002B,2026-06-14-feature-packaging-decision-002B | working/council-runs/2026-06-14-feature-packaging-decision-002B/PROVIDER_COST_LEDGER.md | Provider cost ledger,INTERNAL_PROJECT_FACT,Project,high,2026-06-19,yes,internal scope decision,,,Decision preserved; current provider details remain incomplete.,GAP-AUD-005
HCR-0035,POS integration was not promised universally in the historical packaging decisions.,working/council-runs/2026-06-14-feature-packaging-decision-002B/PROVIDER_COST_LEDGER.md,Provider cost ledger,2026-06-14-feature-packaging-decision-002B,2026-06-14-feature-packaging-decision-002B | working/council-runs/2026-06-14-feature-packaging-decision-002B/PROVIDER_COST_LEDGER.md | Provider cost ledger,INTERNAL_PROJECT_FACT,Project,high,2026-06-19,yes,internal scope decision,,,Consistent with current vendor-specific support evidence.,GAP-AUD-006
HCR-0036,"Foodics displayed a QSR/cafes Starter Bundle at 423 per month, or 392 per month when billed annually, on the inspected pricing page.",working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,STALE_OR_DATE_SENSITIVE,GCC/MENA vendor page,medium,2026-06-19,yes,official pricing page,REV-WEB-006,https://www.foodics.com/pricing/,Currency and final quote should be confirmed locally.,
HCR-0037,Foodics displayed QSR/cafes Basic at 801 monthly or 742 annually and Advanced at 1224 monthly or 1133 annually.,working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,STALE_OR_DATE_SENSITIVE,GCC/MENA vendor page,medium,2026-06-19,yes,official pricing page,REV-WEB-006,https://www.foodics.com/pricing/,Currency and final quote should be confirmed locally.,
HCR-0038,Foodics displayed Cloud Kitchen Basic at 612 monthly or 567 annually and Advanced at 936 monthly or 867 annually.,working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,STALE_OR_DATE_SENSITIVE,GCC/MENA vendor page,medium,2026-06-19,yes,official pricing page,REV-WEB-006,https://www.foodics.com/pricing/,Currency and final quote should be confirmed locally.,
HCR-0039,Foodics displayed Dine-in Basic at 1183 monthly or 1096 annually.,working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,STALE_OR_DATE_SENSITIVE,GCC/MENA vendor page,medium,2026-06-19,yes,official pricing page,REV-WEB-006,https://www.foodics.com/pricing/,Currency and final quote should be confirmed locally.,
HCR-0040,Foodics package text listed API Integration in selected higher packages.,working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,VENDOR_CLAIM,GCC/MENA vendor page,high,2026-06-19,yes,official vendor capability page,REV-WEB-006,https://www.foodics.com/pricing/,Capability requires package and implementation validation.,
HCR-0041,Foodics Cloud Kitchen package text listed food delivery integration and delivery-zone features.,working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,VENDOR_CLAIM,GCC/MENA vendor page,high,2026-06-19,yes,official vendor capability page,REV-WEB-006,https://www.foodics.com/pricing/,Capability requires package and implementation validation.,
HCR-0042,Sapaad did not expose a fixed public package price on the inspected pricing URL and redirected to contact-for-pricing content.,working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,UNRESOLVED_GAP,UAE-relevant,high,2026-06-19,yes,official vendor pricing access page,REV-WEB-007,https://www.sapaad.com/pricing,Requires quote or updated public page.,GAP-AUD-004
HCR-0043,"Wix Restaurant Website Builder claims support for online menus, reservations, payments, and one dashboard.",working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,VENDOR_CLAIM,Global,high,2026-06-19,yes,official vendor capability page,REV-WEB-008,https://www.wix.com/restaurant/website,Not UAE-specific validation.,
HCR-0044,"Wix Restaurant Website Builder claims delivery integration, loyalty, marketing, and POS syncing capabilities.",working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,VENDOR_CLAIM,Global,high,2026-06-19,yes,official vendor capability page,REV-WEB-008,https://www.wix.com/restaurant/website,Compatibility and UAE availability require account-level checks.,
HCR-0045,Wix states that Wix Restaurants offers commission-free online ordering.,working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,VENDOR_CLAIM,Global,high,2026-06-19,yes,official vendor capability page,REV-WEB-008,https://www.wix.com/restaurant/website,"Commission-free platform claim does not include payment, delivery, or app costs.",
HCR-0046,"Wix pricing page displayed Core at $29.77/month, Business at $39.77/month, and Business Elite at $159.77/month on the inspected page.",working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,STALE_OR_DATE_SENSITIVE,Global; location varies,medium,2026-06-19,yes,official pricing page,REV-WEB-009,https://www.wix.com/plans,Wix states prices and currency vary by location.,
HCR-0047,GloriaFood displayed Restaurant POS System pricing at US$49/month/location with a two-year commitment.,working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,STALE_OR_DATE_SENSITIVE,Global,high,2026-06-19,yes,official pricing page,REV-WEB-010,https://www.gloriafood.com/pricing,Not a complete restaurant-ordering cost stack.,
HCR-0048,"Careem Express claims 30-40 minute delivery, advanced mapping and dispatch, and real-time tracking.",working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,VENDOR_CLAIM,UAE/KSA/Qatar,high,2026-06-19,yes,official vendor product page,REV-WEB-004,https://www.careem.com/en-AE/express/,"No price, liability, or SLA-remedy table found on inspected page.",
HCR-0049,"Careem Express states it operates in 11 cities across the UAE, KSA, and Qatar.",working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,VENDOR_CLAIM,UAE/KSA/Qatar,high,2026-06-19,yes,official vendor product page,REV-WEB-004,https://www.careem.com/en-AE/express/,City-level coverage must be checked per restaurant location.,
HCR-0050,"Careem Express page offers delivery-volume bands of 0-50, 50-100, 100-200, 200-300, and 300+ monthly deliveries.",working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision,Public web verification,2026-06-18-historical-evidence-audit-001-revision,2026-06-18-historical-evidence-audit-001-revision | working/evidence-audit-runs/2026-06-18-historical-evidence-audit-001-revision | Public web verification,VERIFIED_FACT,UAE/KSA/Qatar,high,2026-06-19,yes,official vendor product page,REV-WEB-004,https://www.careem.com/en-AE/express/,"Intake form bands, not pricing bands.",
